zone,direction,n_2024,n_2025,pct_volume_change,avg_total_cost_2024,avg_total_cost_2025,avg_distance_2024,avg_distance_2025,low_n_flag
82,dropoff,8080,9040,0.1188,40.03,41.08,7.302,8.126,false
82,pickup,2027,2070,0.0212,39.67,40.04,5.39,5.463,false
83,dropoff,3395,2905,-0.1443,38.2,37.96,6.608,6.374,false
83,pickup,760,1021,0.3434,42.69,49.31,4.978,4.509,false
84,dropoff,127,131,0.0315,137.02,140.08,30.044,29.78,false
84,pickup,,,,,,,,true
85,dropoff,2989,3259,0.0903,49.65,45.65,9.876,9.011,false
85,pickup,1311,1558,0.1884,31.54,30.57,6.254,6.041,false
86,dropoff,3070,3485,0.1352,51.62,52.01,11.83,12.255,false
86,pickup,1383,1485,0.0738,54.09,56.6,15.136,15.737,false
87,dropoff,110376,118357,0.0723,31.86,31.92,5.379,5.235,false
87,pickup,74019,79090,0.0685,28.56,28.42,4.364,4.236,false
88,dropoff,55866,55809,-0.001,31.93,31.9,5.499,5.368,false
88,pickup,40643,41581,0.0231,30.15,30.25,4.704,4.703,false
89,dropoff,12460,12943,0.0388,56.27,53.95,11.481,10.968,false
89,pickup,3451,4214,0.2211,31.63,31.25,6.283,6.34,false
90,dropoff,226190,224820,-0.0061,20.76,21.5,2.457,2.462,false
90,pickup,246563,240749,-0.0236,19.87,19.91,2.108,2.057,false
91,dropoff,4627,4860,0.0504,48.35,44.5,10.245,9.474,false
91,pickup,2687,3143,0.1697,32.86,31.8,6.686,6.618,false
92,dropoff,9443,8604,-0.0888,42.25,42.75,7.812,7.962,false
92,pickup,917,940,0.0251,40.24,38.94,7.988,8.334,false
93,dropoff,4536,9232,1.0353,43.47,39.44,8.293,8.097,false
93,pickup,2416,2616,0.0828,67.91,69.1,8.427,8.339,false
94,dropoff,955,879,-0.0796,53.21,52.07,10.78,10.976,false
94,pickup,412,474,0.1505,38.57,36.91,7.893,8.371,false
95,dropoff,18460,17765,-0.0376,42.7,42.42,7.956,7.916,false
95,pickup,2217,2245,0.0126,36.25,38.31,6.257,6.803,false
96,dropoff,441,427,-0.0317,44.75,43.26,8.838,8.654,false
96,pickup,43,80,0.8605,44.22,45.37,6.962,5.562,true
97,dropoff,19121,20724,0.0838,40.47,40.3,7.348,7.259,false
97,pickup,5749,6661,0.1586,25.63,25.7,4.157,4.301,false
98,dropoff,2210,2021,-0.0855,47.36,47.89,9.81,9.798,false
98,pickup,316,290,-0.0823,40.21,37.71,9.378,9.465,false
99,dropoff,3,2,-0.3333,78.74,172.94,17.823,28.74,true
99,pickup,1,,,12.2,,2.25,,true
100,dropoff,200254,193151,-0.0355,23.86,24.14,2.67,2.621,false
100,pickup,240203,234019,-0.0257,21.95,22.0,2.418,2.33,false
101,dropoff,1338,1381,0.0321,56.4,55.12,12.498,12.326,false
101,pickup,219,260,0.1872,50.82,45.89,10.369,11.129,false
102,dropoff,2552,2514,-0.0149,43.7,44.04,8.519,8.573,false
102,pickup,344,427,0.2413,34.44,37.5,6.384,6.875,false
105,dropoff,,2,,,28.0,,4.67,true
105,pickup,2,1,-0.5,25.55,81.69,4.125,13.3,true
106,dropoff,4884,5234,0.0717,49.67,51.56,9.43,9.737,false
106,pickup,576,670,0.1632,28.56,27.11,4.686,4.663,false
107,dropoff,300271,292370,-0.0263,20.05,20.87,2.298,2.326,false
107,pickup,305446,292379,-0.0428,19.46,20.05,2.157,2.141,false
108,dropoff,1291,1330,0.0302,58.69,53.99,13.429,12.145,false
108,pickup,757,977,0.2906,41.98,39.58,9.656,8.854,false
109,dropoff,124,131,0.0565,123.62,127.46,25.991,26.423,false
109,pickup,,2,,,10.8,,1.175,true
110,dropoff,,1,,,141.23,,30.97,true
111,dropoff,130,119,-0.0846,55.86,55.43,10.78,11.139,false
111,pickup,22,17,-0.2273,40.15,34.95,7.78,6.28,true
112,dropoff,31703,35694,0.1259,39.98,39.86,6.929,6.793,false
112,pickup,1561,2217,0.4202,26.75,26.53,4.265,3.896,false
113,dropoff,200989,199895,-0.0054,21.04,21.79,2.468,2.482,false
113,pickup,215999,217833,0.0085,19.61,19.89,2.08,2.038,false
114,dropoff,148820,152550,0.0251,20.48,21.04,2.324,2.308,false
114,pickup,212280,220034,0.0365,19.95,20.42,2.253,2.212,false
115,dropoff,196,190,-0.0306,101.17,100.2,20.969,20.506,false
115,pickup,10,7,-0.3,98.36,78.95,17.563,15.201,true
116,dropoff,30219,28300,-0.0635,33.7,33.82,5.952,5.987,false
116,pickup,9054,8629,-0.0469,22.75,22.74,3.663,3.75,false
117,dropoff,2001,2086,0.0425,58.55,59.06,13.271,13.554,false
117,pickup,1296,1415,0.0918,52.03,54.39,13.528,14.77,false
118,dropoff,275,367,0.3345,108.78,107.83,22.779,22.253,false
118,pickup,4,14,2.5,73.4,71.15,15.91,11.343,true
119,dropoff,2630,2692,0.0236,46.17,44.75,8.849,8.705,false
119,pickup,884,1196,0.3529,36.79,38.07,7.288,7.77,false
120,dropoff,625,517,-0.1728,44.94,43.79,8.873,8.291,false
120,pickup,54,63,0.1667,39.8,44.11,5.96,5.64,true
